gxfrg007测试,#genre#
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
无线新闻,http://23.237.10.66:16110
无线新闻台,http://198.16.64.10:8278/inews_twn/playlist.m3u8?tid=m2206a7a6925a&ct=18336&tsum=47d564f6425ee7ceb9ff1ed026f89669
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8
无线财经,http://198.16.64.10:8278/j5_twn/playlist.m3u8?tid=m3b7232941813&ct=18336&tsum=2652e4efd153feaf5e425047082469ea
j2,http://198.16.64.10:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
HTV4,https://livecdn.fptplay.net/sdb/htv4_hls.smil/chunklist_b2500000.m3u8

cms210测试,#genre#
翡翠台209,http://209.141.56.65/nmtv.php?id=abb95d54-2d81-4b14-b27b-39d2f004945b
翡翠台113,http://113.64.147.195:808/hls/67/index.m3u8
明珠台113,http://113.64.147.195:808/hls/26/index.m3u8
TVB翡翠,http://198.204.239.194:27347/livehlsplay?channel_id=20128
星河27,http://27.47.68.3:808/hls/35/index.m3u8
翡翠27,http://27.47.68.3:808/hls/36/index.m3u8
翡翠台1,http://www.teyond.cn/iptv/9/tyzb01.php?id=1350_4500
明珠台2,http://www.teyond.cn/iptv/9/tyzb01.php?id=1351_4500
TVB无线新闻台,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8
 
翡翠台,http://210.6.197.248:8000/bysid/1
J2台,http://cms750.synology.me:8001/bysid/82
无线新闻台,http://cms750.synology.me:8001/bysid/83
ViuTV,http://210.6.197.248:8000/bysid/99
ViuTVsix,http://210.6.197.248:8000/bysid/96
明珠台,http://cms750.synology.me:8001/bysid/2
无线财经资讯台,http://cms750.synology.me:8001/bysid/85
 
iptv12k測試,#genre#
翡翠台,http://www.fdkj.net:9901/tsfile/live/1011_1.m3u8
明珠台,http://www.fdkj.net:9901/tsfile/live/1012_1.m3u8
明珠台,http://198.204.239.194:27347/livehlsplay?channel_id=30026
TVBJ2,http://198.204.239.194:27347/livehlsplay?channel_id=20057
HKC新闻台,http://198.204.239.194:27347/livehlsplay?channel_id=30037
无线新闻,http://198.204.239.194:27347/livehlsplay?channel_id=30024
TVB无线新闻,mitv://147.135.39.171:9906/60410a86000b2b564b7737ca69aa1a5d
无线财经,http://198.204.239.194:27347/livehlsplay?channel_id=20099
ViuTV,http://198.204.239.194:27347/livehlsplay?channel_id=30032
 
crtv测试,#genre#
翡翠台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/1
明珠台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/2
无线新闻,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/3
有线新闻,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/4
Now新闻,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/5
VIU6,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/7
无线财经,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/8
有线财经,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/9
J2,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/10
有线603,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/11
18台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/12
RHK31,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/13
港台32,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/14
凤凰卫视,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/17
凤凰资讯,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/18
澳视澳门,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/19
澳门资讯,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/20
澳视葡语,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/21
澳门Macau,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/22
澳视卫星,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/24
澳视体育,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/25
民视HD,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/164
华视HD,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/165
中视HD,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/166
台视HD,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/167
公视HD,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/168
民视台湾台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/169
民视第一台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/170
中视经典台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/171
 
crtvhstv测试,#genre#
翡翠台,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze19nX0CPUCMayWc4hh8Svqw
明珠台,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze7CNOJOFauZ0AShwAHr7Wt4
无线新闻,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze5uSEj2QgX70JGc2TYZz3FM
有线新闻,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze9bT0dzcwkQqglDUH5RBHgM
NOW新闻,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze1P1tCEvxtJGORQfaAsIrPk
Viutv,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze007IYn8wyf4bDLwU3ze8CI
Viutv 6,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzex8hn_KU1yaJgfyGQJm4gTY
无线财经,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze6yNPXBqAv00zQY_SN6RmoQ
有线财经,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze3sJQ4oBZg0BBw_FGeGC9os
J 2,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzeyk0kRA5PnWUIxfYKm0BcZ8
有线603,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzex_BDbLbOaKN3RoqagvKf9c
18台,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze1rSSWHFOlAXCefNn8fkSUg
港台31,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze1lV34Sj9rtmxMrKsqt3DSI
港台32,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze0OkqN2jcVHW8TB-S0JrdVc
香港开电视,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze5TAJU33UnQNLgJWVy75cyg
鳳凰香港,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzeye785m1oylb49vvydnP6RY
鳳凰衛視,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze-C6IgcRwozk4eW0CGKnEqc
鳳凰資訊,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze8TMsBd9j6U2e7uAgvfjsX8
澳视澳门,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze4y0TQ3cg7tAymp78D5O7ro
澳门资讯,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze-NGAOoJtBA76lfWmOTuG28
澳視葡語,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze3cQrZBwbi8jyChOpy3JIWk
澳門Macau,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze3-kDnzdx36cMmiKi9fqG5g
澳视卫星,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze4xyCH6kxor1wigWikFnAwI
澳视体育,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze41D14lsaPfJHO3IW6GOFMM
爆谷台,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzewIopbcXzSps0zmpJli7rBM
TVB经典台,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze53WLv53IMxpHZj9SFFJ_kQ
TVB 星河,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze4CYnnpnWtwLvhLInmrMHIw
天映频道,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzex7VNAVZJZkMihzqdCAl9go
卫视电影台,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzeyPvSZSS_LXHeDRJkhK127A
美亚电影,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze9i7xpFAGFBZLEOfFKUo_LE
 
zhku测试,#genre#
翡翠台,https://tv.zhku.tk//hls/jadehk.m3u8
翡翠台(第1声道繁体),https://tv.zhku.tk//hls/jade.m3u8
翡翠台(第2声道简体),https://tv.zhku.tk//hls/jade2.m3u8
翡翠台海外版(粤语繁体),https://tv.zhku.tk//hls/jadenhk.m3u8
翡翠台海外版(普通话简体),https://tv.zhku.tk//hls/jadenhk2.m3u8
J2,https://tv.zhku.tk//hls/j2.m3u8
J2(第2声道),https://tv.zhku.tk//hls/j22.m3u8
无线新闻台,https://tv.zhku.tk//hls/inews.m3u8
无线新闻台(第2声道),https://tv.zhku.tk//hls/inews2.m3u8
明珠台,https://tv.zhku.tk//hls/pearl.m3u8
明珠台(第2声道),https://tv.zhku.tk//hls/pearl2.m3u8
无线财经资讯台,https://tv.zhku.tk//hls/finance.m3u8
无线财经资讯台(第2声道),https://tv.zhku.tk//hls/finance2.m3u8
无线财经资讯台海外版,https://tv.zhku.tk//hls/financenhk.m3u8
ViuTV,https://tv.zhku.tk//hls/viutv.m3u8
ViuTV(第2声道),https://tv.zhku.tk//hls/viutv2.m3u8
ViuTV6,https://tv.zhku.tk//hls/viutv6.m3u8
 
jilu8测试,#genre#
TVB翡翠台,http://hk.jilu8.cn/25/index.m3u8
TVB明珠台,http://hk.jilu8.cn/26/index.m3u8
凤凰资讯,http://hk.jilu8.cn/28/index.m3u8
凤凰中文,http://hk.jilu8.cn/29/index.m3u8
龙祥时代,http://hk.jilu8.cn/35/index.m3u8
星空卫视,http://hk.jilu8.cn/79/index.m3u8
天映经典,http://hk.jilu8.cn/85/index.m3u8
TVB J2,http://hk.jilu8.cn/86/index.m3u8
 
 
50fd测试2,#genre#
翡翠台,http://50.7.168.234:8278/jade_twn/playlist.m3u8?tid=m51e8c5582227&ct=18336&tsum=d0987332bec9b0fecc98b9b9ff3ddeac
ViuTV,http://50.7.218.42:8278/9ae6d37d9a/playlist.m3u8?tid=m7728dbb8abe7&ct=18336&tsum=6b7f957f06b7cfabd928653808a52514 
RTHK31,http://50.7.218.42:8278/rhk31_twn/playlist.m3u8?tid=m46bfc2f9ab63&ct=18336&tsum=608dc3ebc82e03253ba562a9a81f0094
RTHK32,http://50.7.218.42:8278/rhk32_twn/playlist.m3u8?tid=m941409fa5c86&ct=18336&tsum=af847919dbe19ba95dbe614c6cfe2a10
无线新闻,http://ye23.win/iptv/tvb.php?id=5
fd翡翠台1,http://www.fdkj.net:9901/tsfile/live/1011_1.m3u8
fd明珠台,http://www.fdkj.net:9901/tsfile/live/1012_1.m3u8
 
113测试1,#genre# 
翡翠台,http://113.64.147.15:808/hls/36/index.m3u8?times=0
凤凰香港,http://113.64.147.15:808/hls/38/index.m3u8?times=0
CCTV-5,http://113.64.147.15:808/hls/135/index.m3u8?times=0
翡翠台,http://113.64.147.15:808/hls/25/index.m3u8?times=0
明珠台,http://113.64.147.15:808/hls/26/index.m3u8?times=0
星空卫视,http://113.64.147.15:808/hls/87/index.m3u8?times=0
星空音乐,http://113.64.147.15:808/hls/88/index.m3u8?times=0
华视新闻,http://60.251.59.180:8501/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
年代新闻,http://60.251.59.180:8502/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
东森新闻,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
中天新闻,http://60.251.59.180:8504/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8
 
113测试2,#genre#
翡翠台,http://113.64.147.72:808/hls/67/index.m3u8 
TVB星河,http://113.64.147.72:808/hls/135/index.m3u8 
翡翠台,http://113.64.147.72:808/hls/25/index.m3u8                                                                      
明珠台,http://113.64.147.72:808/hls/26/index.m3u8
TVB星河,http://113.64.147.72:808/hls/135/index.m3u8 
无线财经,http://113.64.147.72:808/hls/137/index.m3u8 
 
128测试2,#genre#
翡翠台,http://128.14.50.198:8880/m3u8/8djt_kdHEQm32utFFgHqf1GyW-wH9i9QbiamNJJt3Hn4zZvcuE99wEAP9-ZxE2qcZKQp-HqnMG--ubWyZ9ye3g
J2,http://128.14.50.198:8880/m3u8/7JgGStzWs96fQTkk2QueXpzbE3M_I1xYiqNTYowbRETmCLOSObLWDj8DXMSUn0S1sOdHFa76V-MhvzrfHcy_kg
无线财经,http://128.14.50.198:8880/m3u8/hYONRlpiVZ8Y-2WSh6U_DbqoirlGlzinWKTAVuwNL1T8WKPa5VKYcLf1wHR4jAbY9EHhlWGfQIM0W9z9Dd6zUQ
无线新闻,http://128.14.50.198:8880/m3u8/0GO_yKxHazMEN9lP0l4-YGOFGZ4cuqmamNScYcTCBRTx49zm6Vijm7CBrZXPOIGixRGg-TY8ya363JeGLQqzlA
明珠台,http://128.14.50.198:8880/m3u8/wL7k7EbsLly4Bd8DmApEVQbvGaMoklE2pc7r5WWKfpvcJ9mRDj_V8k9PI2Jq1XenRavADPtp-ZLLIOwYFMmnIA
VIU,http://128.14.50.198:8880/m3u8/vJPjpbUX-XbrVXmjD0UE7iCEEN6fRwXsD3F9xh5Jn2w__1iTiVPuZ5Bn9u8DqPEU3UM8a8dDQLuBs1INIibj8A
VIU6,http://128.14.50.198:8880/m3u8/MRLSpwrPu6Y6fJRIBEg3bwx5np_D0-WD7YeDAg6z4PF4NDizWVGy00QgC0GyG-j-1lexmwKVirckd74BeQcIoA
TVB经典,http://128.14.50.198:8880/m3u8/uD8Q1Nw6zxLyn4wcY7vThzLun0K2wP_7Q-3ftKF2GG8uF0hO9PLjuhBtdHjcj-Lqc6sQmkK4A76OG7ALuj5SWg
TVB星河,http://128.14.50.198:8880/m3u8/gRm5cNuYXem3VbN2tP1K23MvrXwcoRmMEGPJ9Scs6KTZRCFgI3fE2wQHuAI8T0rkBiQ6R7nScErnykw6SBYB6g
TVB娱乐新闻,http://128.14.50.198:8880/m3u8/d1gM0-Dn2VWoc2JeQyJ8nNJZUt5rVpGSn_rkuMC7Z6C8sAg56Fy2DvURgZeAmHiNtXGOUttUI76OYfnEYkgY4g
凤凰中文HD,http://128.14.50.198:8880/m3u8/7ht2QPf_ikQ917lzhfktGNmex73H3BCv1fhJYsjg6qkh9UTUX5h56CMLUta_KKhQFSV7aSKGwJxj5vFNQFkjoQ
凤凰资讯HD,http://128.14.50.198:8880/m3u8/dLJzBt27QUZvd6cZa7Crep62pUYuC24umSAtbwEJeHUuwFobWQMlz5vTuIQ8aboO9JQJ8o4Vwa696e4KQ4XTQQ
凤凰香港HD,http://128.14.50.198:8880/m3u8/xGoX--NjFHbbG9b_ZDJed2qy1J9Dj2vrKks1OGRVQ8iVUC2PDfd1EEzR0IHNgQ0-CYVXOwQajnOAy8WRXJD42Q
RHK31,http://128.14.50.198:8880/m3u8/qiSToP7z9yAt94HyNpM-UReONcYLjTEWDeygVxxlRgZV6FbUXhb75i9x336e-mVPJ913S0ahl0r-8Q5tSoQT0g
RHK32,http://128.14.50.198:8880/m3u8/xRn_DR6-ITKQ76xa4IX-3zVQIlEax78lyJ589BRi8Qs3cIAeuFTcbVMG2XRJIXWn9oxnD3qf0U27_zLuNGo8pA
天映FHD,http://128.14.50.198:8880/m3u8/hJ9PE6d82uIy7K-KKneWDREvOhutyU3uOhEbKje19VJzQjujBbFCVsOLu2ZTxrLWgCLGZ72GfaIQYMl773Op7w
天映经典,http://128.14.50.198:8880/m3u8/mRM0p8eQAt1j0omvNGBvj1EqnDVFxLYUIO4i7c9LoyOvTXN2b95fnDK4HJYstyf0h7QctQnDEac8sOGgek4pow
民视HD,http://128.14.50.198:8880/m3u8/Ma8rM3HGcb-bsWWb0_h1obZQLvsdqkIGGHXNzM9aB-D4Td8yGL3BHBKGZu9dslQ7NjsKigU-FO8InRmgbyt6qQ
中视HD,http://128.14.50.198:8880/m3u8/JKEYTgWWPkfvW22mFe7cHB8AZPrE0esiY1DSNRBMoVKC_BwYGDP2z8QxBFbuSWaqWxaDTQLjiM6EQ7Wh3d25WQ
台视HD,http://128.14.50.198:8880/m3u8/MywMmFZL5L-MsjWo7cYHKlpQVpz-wv0O3hXjHvUlotawhGvAYFpeqqkE_FohMrv-0bah49NBnlRxaEMQAN07sA
华视HD,http://128.14.50.198:8880/m3u8/kswwJggekpO1uiOb5ly3brJR75txFZpCp4i-1JboojajM8VjUDqFD3YIsizEJQ2KQSYtw4QK0WT11oEDS77Zrw
公视HD,http://128.14.50.198:8880/m3u8/jSFKpyYXXZUKiMKw1RAWNfcmABhhY00e-kLlPOrmEQ1IYILgsd2QsMX3qb3WHi9H6OdC_3jCoga5xmwXJ_GOHA
CN卡通,http://128.14.50.198:8880/m3u8/-t6XP9Zx0dUjw4oo1YyDENU9sCwSxxF6B2s0gu1Tlk2HJCI8Go-hbJYhtanOtDThTqinTdm7Zh6ql8gtpORVug
Animax,http://128.14.50.198:8880/m3u8/JP4s5ksssAI-h4epzD-H6vQVsmzK81ELirRd3rpzC95zM5bkX-Li4PxNJhAG7fvp4-jC6RVoy_rFaQLgrHlOrA
BabyTV,http://128.14.50.198:8880/m3u8/4X2SxyGveqC1GT6_SyTS9rVnF7snQSnR90kkaK_iRJoC5OG2v2Tj_AMqsW2egaZ-z6YGTx03ctcnYnbZVXmzaw
 
139测试1,#genre# 
翡翠台,http://139.227.62.63:61985/hlsok/892debf01/index.m3u8
J2,http://139.227.62.63:61985/hlsok/67eed8f2c/index.m3u8
无线财经,http://139.227.62.63:61985/hlsok/bf90c099d/index.m3u8
无线新闻,http://139.227.62.63:61985/hlsok/f104404f0/index.m3u8
明珠台,http://139.227.62.63:61985/hlsok/df1763cf9/index.m3u8
民视,http://139.227.62.63:61985/hlsok/fd841196/index.m3u8
中视,http://139.227.62.63:61985/hlsok/7b007f53/index.m3u8
台视,http://139.227.62.63:61985/hlsok/0610e13c/index.m3u8
华视CTS,http://139.227.62.63:61985/hlsok/3d2107b0/index.m3u8
公视,http://139.227.62.63:61985/hlsok/a98ccb72/index.m3u8
东森电影,http://139.227.62.63:61985/hlsok/75d7613b/index.m3u8
东森洋片,http://139.227.62.63:61985/hlsok/14561539/index.m3u8
好莱坞,http://139.227.62.63:61985/hlsok/a78680e4/index.m3u8
龙祥时代,http://139.227.62.63:61985/hlsok/e4a13cc1/index.m3u8
纬来电影,http://139.227.62.63:61985/hlsok/75966caf/index.m3u8
TVBS,http://139.227.62.63:61985/hlsok/e9c339cc/index.m3u8
TVBS欢乐,http://139.227.62.63:61985/hlsok/c9692259/index.m3u8
TVBS新闻,http://139.227.62.63:61985/hlsok/ea10c602/index.m3u8
东森新闻,http://139.227.62.63:61985/hlsok/1ecdeb5a/index.m3u8
三立新闻,http://139.227.62.63:61985/hlsok/0ebc9684/index.m3u8
非凡新闻,http://139.227.62.63:61985/hlsok/2187f64b/index.m3u8
民视新闻台,http://139.227.62.63:61985/hlsok/ced345d4/index.m3u8
靖天资讯台,http://139.227.62.63:61985/hlsok/66836176/index.m3u8
台视新闻,http://139.227.62.63:61985/hlsok/c23f3737/index.m3u8
华视新闻资讯,http://139.227.62.63:61985/hlsok/091887ce/index.m3u8
凤凰中文,http://139.227.62.63:61985/hlsok/a1ddeef5/index.m3u8
凤凰资讯,http://139.227.62.63:61985/hlsok/2c3cc674/index.m3u8
凤凰香港,http://139.227.62.63:61985/hlsok/b18b32b6/index.m3u8
Z频道,http://139.227.62.63:61985/hlsok/12158ea6/index.m3u8
国兴卫视,http://139.227.62.63:61985/hlsok/9cd6fcae/index.m3u8
HBO HD,http://139.227.62.63:61985/hlsok/8fdeabec/index.m3u8
HBO强档HD,http://139.227.62.63:61985/hlsok/335d6895/index.m3u8
HBO家庭HD,http://139.227.62.63:61985/hlsok/1a67a2aa/index.m3u8
HBO原创HD,http://139.227.62.63:61985/hlsok/3c54101b/index.m3u8
探索亚洲,http://139.227.62.63:61985/hlsok/37c6ad51/index.m3u8
探索频道,http://139.227.62.63:61985/hlsok/592cd26f/index.m3u8
探索科学,http://139.227.62.63:61985/hlsok/bf60aa18d/index.m3u8
探索动力,http://139.227.62.63:61985/hlsok/c4421e308/index.m3u8
国家地理,http://139.227.62.63:61985/hlsok/cab58bd3/index.m3u8
国家野生,http://139.227.62.63:61985/hlsok/dc882466/index.m3u8
TLC,http://139.227.62.63:61985/hlsok/3beb476b/index.m3u8
动物星球,http://139.227.62.63:61985/hlsok/76011b82/index.m3u8
AXN,http://139.227.62.63:61985/hlsok/c1c18f78/index.m3u8
CINEMAX,http://139.227.62.63:61985/hlsok/79be7824/index.m3u8
WarnerTV,http://139.227.62.63:61985/hlsok/9cb32ea0/index.m3u8
亚洲美食,http://139.227.62.63:61985/hlsok/32fa8773/index.m3u8
美食网,http://139.227.62.63:61985/hlsok/1dd145d4f/index.m3u8
StarMovies,http://139.227.62.63:61985/hlsok/716adb39/index.m3u8
CRIME+,http://139.227.62.63:61985/hlsok/aad39e7d/index.m3u8
tvN,http://139.227.62.63:61985/hlsok/c3efccf2/index.m3u8
韩国娱乐,http://139.227.62.63:61985/hlsok/6d88eabe/index.m3u8
HISTORY,http://139.227.62.63:61985/hlsok/5c2de6d6/index.m3u8
HGTV,http://139.227.62.63:61985/hlsok/54506ff9/index.m3u8
LIFE Time,http://139.227.62.63:61985/hlsok/f25a92cc/index.m3u8
Travel旅游,http://139.227.62.63:61985/hlsok/06340a57/index.m3u8
卫视电影台,http://139.227.62.63:61985/hlsok/2359ba51/index.m3u8
卫视中文台,http://139.227.62.63:61985/hlsok/3b15e6b2/index.m3u8
星卫电影台,http://139.227.62.63:61985/hlsok/cfcece47/index.m3u8
星卫娱乐台,http://139.227.62.63:61985/hlsok/2657344c/index.m3u8
美亚电影台,http://139.227.62.63:61985/hlsok/558343fa/index.m3u8
ELEVEN1,http://139.227.62.63:61985/hlsok/9eec5c46/index.m3u8
ELEVEN2,http://139.227.62.63:61985/hlsok/a4970c8d/index.m3u8
欧洲体育,http://139.227.62.63:61985/hlsok/c3afb811/index.m3u8
NBA动态,http://139.227.62.63:61985/hlsok/ec8e7fc2/index.m3u8
高点综合,http://139.227.62.63:61985/hlsok/9569303e/index.m3u8
壹新闻,http://139.227.62.63:61985/hlsok/cc4d59da/index.m3u8
壹综合,http://139.227.62.63:61985/hlsok/f0546361/index.m3u8
壹电影,http://139.227.62.63:61985/hlsok/4dcedbb6/index.m3u8
年代新闻,http://139.227.62.63:61985/hlsok/3abbaa2d/index.m3u8
东风37,http://139.227.62.63:61985/hlsok/c1809a12/index.m3u8
年代MUCH,http://139.227.62.63:61985/hlsok/9755ce73/index.m3u8
JET综合,http://139.227.62.63:61985/hlsok/0c5bc08e/index.m3u8
霹雳台湾,http://139.227.62.63:61985/hlsok/7b8dd162/index.m3u8
东森财经新闻,http://139.227.62.63:61985/hlsok/7a3a85b7/index.m3u8
东森戏剧,http://139.227.62.63:61985/hlsok/35bb9175/index.m3u8
东森综合,http://139.227.62.63:61985/hlsok/d3cc16e5/index.m3u8
 
139测试2,#genre#
翡翠台,http://wwm.weetai.cn/cdn/iptv/tyzb01.php?id=1350_4500
TVB翡翠,http://wwm.weetai.cn/cdn/iptv/tyzb01.php?id=xgfeicui_1500
明珠台,http://wwm.weetai.cn/cdn/iptv/tyzb01.php?id=1351_4500
无线财经资讯,http://kkmix1.f3322.net:825/hls/ch2/s.m3u8
VIUTV6,http://kkmix1.f3322.net:762/hls/ch2/s.m3u8
星河,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
TVB经典台,http://139.99.56.106:2082/live/sakinah1/sakinah1/8492.ts
TVB星河[国语],http://139.99.56.106:2082/live/sakinah1/sakinah1/8491.ts
TVB华丽台,http://139.99.56.106:2082/live/sakinah1/sakinah1/8490.ts
无线新闻台,http://139.99.56.106:2082/live/sakinah1/sakinah1/8489.ts
天映频道,http://139.99.56.106:2082/live/sakinah1/sakinah1/7137.ts
天映经典,http://139.99.56.106:2082/live/sakinah1/sakinah1/7136.ts
卫视电影台,http://139.99.56.106:2082/live/sakinah1/sakinah1/8488.ts
Astro AOD,http://139.99.56.106:2082/live/sakinah1/sakinah1/8487.ts
Astro AEC,http://139.99.56.106:2082/live/sakinah1/sakinah1/8483.ts
Astro小太阳,http://139.99.56.106:2082/live/sakinah1/sakinah1/8482.ts
Astro欢喜台,http://139.99.56.106:2082/live/sakinah1/sakinah1/8486.ts
Astro全佳,http://139.99.56.106:2082/live/sakinah1/sakinah1/8485.ts
